Average of centy,Average of centx,area
3.549436,46.54467,adan yabaal
2.236402,45.07666,afgooye
0.5909003,41.78618,afmadow
2.102048,41.70671,baardheere
-0.8536984000000001,41.42942,badhaadhe
10.28566,43.7321,baki
2.488555,45.65908,balcad
2.110552,45.42547,banadir
9.229735,50.32945,bandarbeyla
1.10831,43.84067,baraawe
3.266359,43.63929,baydhaba
4.724339,45.37965,belet weyne
3.435586,41.7337,belet xaawo
10.35884,45.28606,berbera
10.18763,43.17024,borama
10.9218,49.39968,bossaso
1.197985,42.7408,bu'aale
3.900063,45.53233,bulo burto
9.141337,45.75868,burco
7.802199000000001,48.39912,burtinle
8.460162,46.66129,buuhoodle
2.485374,44.00688,buur hakaba
5.826085,46.125,cabudwaaq
6.130694,47.03673,cadaado
3.091515,46.26282,cadale
11.66822,50.79402,caluula
9.282376,46.49009,caynabo
10.14797,46.68845,ceel afweyn
4.673877,43.99833,ceel barde
4.760488,46.84157,ceel buur
4.051839,47.04732,ceel dheer
2.678978,41.44526,ceel waaq
10.29076,47.8071,ceerigaabo
5.441128,46.68405,dhuusamarreeb
2.102024,42.90189,diinsoor
4.002533000000001,42.1408,doolow
8.094348,49.56446,eyl
6.935230000000001,47.68801,gaalkacyo
7.039169,47.22166,galdogob
3.205999,42.35913,garbahaarey
8.470396000000001,48.78639,garoowe
9.859568,43.68093,gebiley
9.521626,44.28073,hargeysa
5.971543,48.20153,hobyo
10.5516,50.50521,iskushuban
3.40329,45.61273,jalalaqsi
0.124303,42.80163,jamaame
7.163778999999999,48.9986,jariiban
0.6450100000000001,43.05589000000001,jilib
2.993369,45.56808,jowhar
-0.3811448,42.00865,kismaayo
1.674606,44.06695,kurtunwaarey
8.438008,47.63642,laas caanood
10.53805,48.69515999999999,laasqoray
10.64738,43.57812,lughaye
3.792931,42.6976,luuq
1.740153,44.71787,marka
9.257388,45.01097,owdweyne
11.06016,50.08869,qandala
2.81513,42.84011,qansax dheere
9.502092,49.50765,qardho
1.934555,44.44943,qoryooley
4.243281,43.21162,rab dhuure
1.628627,42.06274000000001,saakow
1.383262,43.52054,sablaale
9.992453,45.42914,sheikh
9.179458,48.54122,taleex
3.835937,44.52907,tayeeglow
3.81645,43.43285,waajid
2.791644,44.90647,wanla weyn
4.793407,47.83268,xarardheere
9.141643,47.50747,xudun
4.188905999999999,43.90622,xudur
10.89293,43.16827,zeylac
